Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
Ascot International (1996) Ltd.,9388,Dimitrios Ntounas,0.055910207,0,0,1,0.787083333,0,0,0,92.14967701,1,,2
J. Rettenmaier & Söhne GmbH + Co. KG,27824,Julian Panchyrz,0.04426517,0,0,1,0.798461538,0,0,0,92.13633543,1,,2
Mitsui & Co. Deutschland GmbH,8533,Florian Pagels,0.014801824,0.018223235,0,1,0.744,0,0,0,91.58473812,1,,2
Wintzell & Fried,1944,Dimitrios Ntounas,0.018169063,0.025056948,0,1,0.71,0,0,0,91.4198427,1,,2
ATUN KIMYA SAN.TIC.LTD.STI.,31262,Umut Öztürk,0.006103122,0.002277904,0,0.8,1,0,0,0,90.76073695,1,,2
Kuraray Europe GmbH,5791,Florian Pagels,0.050929498,0.004555809,0.009090909,1,0.706283186,0,0,0,90.58997776,1,,2
Kimteks Kimya Tekstil ürünleri Tic. A.S.,8636,Umut Öztürk,0.022518415,0.045558087,0,0.938271605,0.6575,0,0,0,90.02611829,1,,2
Kowa Europe GmbH,4468,Houcem Bakkari,0.13272536,0.08428246,0.090909091,0.569306931,0.394222222,0,0,0,89.85103583,1,,2
PETROWHITE,24679,Umut Öztürk,0.007295686,0,0,1,0.785,0,0,0,89.61478429,1,,2
Weserland GmbH,25529,Florian Pagels,0.009189758,0.004555809,0,0.8,0.958,0,0,0,89.27064963,1,,2
Anstar Ltd,17081,Dimitrios Ntounas,0.010592774,0.029612756,0.063636364,0.878787879,0.503888889,0.007410758,0,0,89.05437687,1,,2
Gospodarstwo Pasieczne – Pasieka Jurajska sp. z o.o.,12333,Oksana Senchyshyn,0.087337776,0,0,0.833333333,0.86,0,0,0,89.03355548,1,,2
Stephan Schmidt KG,3638,Julian Panchyrz,0.009821115,0.004555809,0.009090909,1,0.71,0,0,0,88.72039932,1,,2
Harold Scholz & Co. GmbH,101,Julian Panchyrz,0.070431428,0.027334852,0.027272727,0.769911504,0.708888889,0.001840107,0,0,88.56711754,1,,2
