Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
widmann solutions GmbH,11682,Florian Pagels,0.027148369,0.011389522,0.009090909,0.7375,0.743684211,0,0,0,79.51271512,1,,2
Bch Brühl - Chemikalien Handel Gmbh,135,Florian Pagels,0.010101719,0.027334852,0.009090909,0.821428571,0.613,0,0,0,79.51166671,1,,2
Life Chemicals Europe Gmbh,600,Florian Pagels,0.019221326,0,0,1,0.569720559,0,0,0,79.44709424,1,,2
Mansi Chemicals,20941,Houcem Bakkari,0.038372501,0.013667426,0,1,0.495777778,0,0,0,79.44099913,1,,2
Emery Oleochemicals,1866,Julian Panchyrz,0.018028762,0,0,1,0.57,0,0,0,79.40143809,1,,2
Poliver SpA,1417,Marcello Sanz,0.005401613,0.002277904,0,1,0.57,0,0,0,79.22566154,1,,2
Artigum GmbH,5364,Florian Pagels,0.045177131,0.047835991,0.027272727,0.726190476,0.505833333,0.001797113,0,0,79.06150199,1,,2
"ISOUND, .s.r.o.",2220,Mladen Vidojevic,0.011013679,0,0,1,0.57,0,0,0,79.05068397,1,,2
Particular Materials srl,1301,Marcello Sanz,0.038162048,0,0,0.846153846,0.696666667,0,0,0,79.04912806,1,,2
Bernd Schwegmann GmbH & Co. KG,1574,Julian Panchyrz,0.010522624,0,0,1,0.57,0,0,0,79.02613118,1,,2
Narchemicals Kimyevi Mad. San. Tic. Ltd. Sti.,22245,Tunahan Güzel,0.02293932,0.109339408,0,0.811320755,0.3018,0,0,0,78.67088526,1,,2
VETTÓ Kft,29521,Mladen Vidojevic,0.001964223,0,0,1,0.57,0,0,0,78.59821115,1,,2
Xymertec Limited,14903,Dimitrios Ntounas,0.001052262,0,0,1,0.57,0,0,0,78.55261312,1,,2
GB-Chemie GmbH,12351,Florian Pagels,0.144370396,0.004555809,0.009090909,0.828070175,0.539404389,0,0,0,78.32159157,1,,2
GASES RESEARCH INNOVATION AND TECHNOLOGY,6365,Juan Alvarado,0.023640828,0,0,1,0.542,0,0,0,78.28204139,1,,2
Perechyn Timber and Chemical Plant,2829,Oksana Senchyshyn,0.007856892,0,0,0.823529412,0.732857143,0,0,0,78.21217235,1,,2
KTM Chemicals,8182,Umut Öztürk,0.031357418,0.038724374,0,0.923076923,0.45,0,0,0,77.96659179,1,,2
OQEMA B.V.,1821,Juan Alvarado,0.081515258,0.011389522,0,0.828125,0.6036,0,0,0,77.93991722,1,,2
CNI Kft,15674,Mladen Vidojevic,0.002946335,0.013667426,0.009090909,0.954545455,0.43,0.038177912,0,0,77.74404766,1,,2
Lebon,7412,Dimitrios Ntounas,0.015012276,0.011389522,0,0.923076923,0.57,0,0,0,77.6823643,1,,2
Molkem Chemicals Pvt. Ltd,13360,Oksana Senchyshyn,0.057102771,0.077448747,0.018181818,0.746478873,0.366157989,0,0,0,77.61309474,1,,2
Marker Kimya,24917,Umut Öztürk,0.002104525,0,0,1,0.546666667,0,0,0,77.43855957,1,,2
FINEAMIN SA,21049,Florian Pagels,0.003016485,0.004555809,0,0.666666667,0.86,0,0,0,77.39531934,1,,2
Metafrax Trading International SA,25418,Oksana Senchyshyn,0.012136093,0,0,0.888888889,0.646,0,0,0,77.35124907,1,,2
CID,2439,Houcem Bakkari,0.008418099,0.020501139,0.009090909,0.888888889,0.528,0,0,0,77.183759,1,,2
LabKontor GmbH,15247,Florian Pagels,0.014942126,0.031890661,0,1,0.400434783,0,0,0,77.14697753,1,,2
HECCKEM Kimyevi Mad. İth.İhr. San. ve Tic. A.Ş.,23937,Umut Öztürk,0.044966678,0.070615034,0.009090909,0.625766871,0.55,0,0,0,76.97786613,1,,2
Tradebe Chemicals,7339,Dimitrios Ntounas,0.044124868,0.013667426,0,0.978723404,0.458823529,0,0,0,76.8170753,1,,2
MRV Mineral- und Rohstoffvertrieb GmbH,10088,Florian Pagels,0.003647843,0.004555809,0,0.8,0.71,0,0,0,76.59355387,1,,2
Brenntag Iberia and Italy,25859,Juan Alvarado,0.041178534,0.002277904,0,0.875,0.599675994,0,0,0,76.24830726,1,,2
ma.gi.co. srl,9187,Marcello Sanz,0.012627148,0,0,0.916666667,0.593333333,0,0,0,76.13135742,1,,2
Mayantu,6445,Dimitrios Ntounas,0.011574886,0,0,0.8,0.71,0,0,0,76.0787443,1,,2
Chemische Fabrik Wocklum Gebr. Hertin GmbH & Co. KG,20928,Julian Panchyrz,0.017327254,0.004555809,0,1,0.484782609,0,0,0,76.01665485,1,,2
JSC Kurana,14431,Oksana Senchyshyn,0.009610663,0,0,0.647058824,0.86,0,0,0,75.83347432,1,,2
Transmare CHEMIE,13327,Houcem Bakkari,0.035566468,0.009111617,0,0.888888889,0.553958333,0,0,0,75.74300797,1,,2
Yeğenler Kimya,24946,Umut Öztürk,0.018870572,0.025056948,0,0.658536585,0.731428571,0,0,0,75.45317595,1,,2
Addi-tec Ltd,9607,Dimitrios Ntounas,0.026797615,0.006833713,0.018181818,1,0.375795454,0,0,0,75.1327597,1,,2
DKSH,8258,Juan Alvarado,0.012977902,0,0,1,0.486,0,0,0,74.94889512,1,,2
Emertle Chemical Solutions,1569,Julian Panchyrz,0.013679411,0.022779043,0,1,0.389354839,0,0,0,74.70752113,1,,2
Evonik Silica,30037,Alexander Kronenberg,0.017116801,0,0,0.833333333,0.6435,0,0,0,74.69750672,1,,2
ANNO  Chemicals nv,2062,Houcem Bakkari,0.127253595,0.050113895,0,0.595505618,0.57,0,0,0,74.6607397,1,,2
ANV Trader,3434,Dimitrios Ntounas,0.026937917,0.004555809,0.009090909,0.666666667,0.736666667,3.01E-05,0,0,74.24591556,1,,2
Brenntag France and Benelux,27487,Alexander Kronenberg,0.061732725,0.002277904,0,0.5,0.913730769,0,0,0,74.2287556,1,,2
Thode + Scobel GmbH & Co. KG,20106,Julian Panchyrz,0.004629954,0.011389522,0,1,0.43,0,0,0,74.00940205,1,,2
Chematek,17056,Houcem Bakkari,0.006243423,0.009111617,0.009090909,0.888888889,0.492777778,0.009243526,0,0,73.96036238,1,,2
Orm Bergold Chemie GmbH & Co KG,20462,Florian Pagels,0.001192564,0.006833713,0,0.875,0.57,0,0,0,73.6763708,1,,2
Novasol Chemicals,34059,Houcem Bakkari,0.001894072,0.004555809,0,1,0.453333333,0,0,0,73.67253201,1,,2
OCSiAl,6154,Houcem Bakkari,0.003016485,0,0,0.9,0.57,0,0,0,73.65082427,1,,2
"Cales de Llierca, S.A.",7099,Juan Alvarado,0.021536303,0.013667426,0.009090909,0.869565217,0.49,0,0,0,73.60674303,1,,2
Erich Slupetzky Gesmbh,695,Florian Pagels,0.038933707,0,0,1,0.43,0,0,0,73.44668537,1,,2
Rebain International (NL) B.V.,10414,Juan Alvarado,0.071904595,0.066059226,0.027272727,0.413249211,0.303896104,0.033260426,0.04,0,73.4449287,1,,3
Ralin B.V.,16743,Juan Alvarado,0.049105577,0,0,0.675,0.744230769,0,0,0,73.41681731,1,,2
Halogens,30011,Houcem Bakkari,0.007085233,0.009111617,0,0.7,0.723846154,0,0,0,73.36889282,1,,2
UPL Ltd,1949,Houcem Bakkari,0.058505787,0.002277904,0,0.823529412,0.576086957,0,0,0,73.36168865,1,,2
Alesta Trade İç ve Dış Ticaret AŞ,18343,Umut Öztürk,0.008347948,0.038724374,0.009090909,0.607843137,0.656,3.52E-05,0,0,73.17613128,1,,2
Sarex Overseas Div. of Saraf Chemicals Pvt. Ltd.,12936,Juan Alvarado,0.011153981,0,0,1,0.444583333,0,0,0,72.78686572,1,,2
Aldeco Krup SL - Bao Chemicals,22625,Anna Ziemes,0.004209049,0,0,0.9,0.55,0,0,0,72.71045247,1,,2
Raichem SpA,18750,Marcello Sanz,0.007295686,0,0,0.875,0.57,0,0,0,72.61478429,1,,2
PUHP Solvent Export-Import M.M.Cichońscy Sp.j.,18012,Oksana Senchyshyn,0.00168362,0.009111617,0,1,0.404545455,0,0,0,72.13377718,1,,2
Arkem Chemicals Europe B.V.,27959,Juan Alvarado,0.01276745,0,0,1,0.428666667,0,0,0,72.07170583,1,,2
CELIAS d.o.o.,12354,Dimitrios Ntounas,0.002806033,0.002277904,0,0.833333333,0.591428571,0,0,0,71.83397775,1,,2
Brenntag UK and Scandinavia,3779,Mladen Vidojevic,0.069449316,0,0,0.454545455,0.912615385,0,0,0,71.83050776,1,,4
Meghna Colour Chem,1732,Florian Pagels,0.01017187,0.013667426,0.009090909,0.75,0.58,0,0,0,71.56026049,1,,2
Irmak Kimya,29414,Umut Öztürk,0.002034374,0,0,0.857142857,0.57,0,0,0,71.45886155,1,,2
Castor International B.V.,11625,Juan Alvarado,0.070150824,0,0,0.967391304,0.389473684,0,0,0,71.35079064,1,,2
STERA CHEMICALS SRL,7078,Dimitrios Ntounas,0.031567871,0.095671982,0.018181818,0.387596899,0.53,0.010232368,0,0,71.25223533,1,,4
STS Group Chemicals,17936,Oksana Senchyshyn,0.083128727,0.0523918,0.018181818,0.748502994,0.310813954,0,0,0,71.23700726,1,,2
Alfa Chemistry,2186,Mladen Vidojevic,0.08684672,0.059225513,0,0.666666667,0.43,0,0,0,71.02077186,1,,2
C&G Pigment Europe GmbH,8607,Florian Pagels,0.014871975,0,0,0.545454545,0.86,0,0,0,71.01632601,1,,2
Vistachem Europe GmbH,17397,Julian Panchyrz,0.011153981,0.020501139,0.009090909,1,0.289545455,0,0,0,70.95338139,1,,2
FIBB sistemi d.o.o.,2000,Dimitrios Ntounas,0.011574886,0,0,0.833333333,0.57,0,0,0,70.74541097,1,,2
Helio Beit Pigmentpasten GmbH,1330,Julian Panchyrz,0.005892669,0,0,1,0.404452555,0,0,0,70.5172612,1,,2
OQEMA Sp. z o.o.,11427,Oksana Senchyshyn,0.056260961,0.009111617,0,0.888324873,0.429171598,0,0,0,70.51019505,1,,2
Elite Chemicals Kimya San.ve Tic.A.S,23536,Umut Öztürk,0.001823921,0,0,0.833333333,0.560277778,0,0,0,69.77175163,1,,2
United Trading System Scandinavia AB,23326,Dimitrios Ntounas,0.010522624,0,0,0.857142857,0.526666667,0,0,0,69.71660737,1,,2
KEMAT,3120,Houcem Bakkari,0.021396001,0.022779043,0.009090909,0.583333333,0.658148148,0.000692774,0,0,69.58714205,1,,2
JOhn Murphy (Castlerea) Ltd,19164,Dimitrios Ntounas,0.003577692,0,0,0.6,0.785,0,0,0,69.4288846,1,,2
ECSA Chemicals AG,22544,Julian Panchyrz,0.012065942,0.011389522,0,0.466666667,0.86,0,0,0,69.21453475,1,,2
HTMC Group,21598,Dimitrios Ntounas,0.028621536,0.011389522,0,0.85,0.459285714,0,0,0,69.17326686,1,,2
"HELIOS TBLUS, d.o.o.",10332,Dimitrios Ntounas,0.050368292,0,0,0.9375,0.394263566,0,0,0,69.10659289,1,,2
IMPAG Import GmbH,8085,Florian Pagels,0.041529288,0.020501139,0.045454545,0.717105263,0.348039216,0.005235705,0,0,69.04839573,1,,2
"MINERALS RESOURCES - DEVELOPMENT, S.A.",9636,Juan Alvarado,0.005892669,0.01594533,0.045454545,0.7,0.410909091,0,0,0,68.12006316,1,,2
SINOPEC Chemical Commerical holding HONGKONG,27203,Oksana Senchyshyn,0.012486847,0,0,0.4,0.9475,0,0,0,67.99934234,1,,4
MADKIM MADEN VE KIMYA SAN. VE TİC. LTD. STI.,10126,Umut Öztürk,0.029252894,0,0,0.777777778,0.55,0,0,0,67.85153357,1,,2
KİMYATİC DIŞ TİCARET LTD.ŞTİ,27568,Umut Öztürk,0.004700105,0.020501139,0,0.619047619,0.45,0,0.0332,0,67.747614,1,,2
Kempro Kimyasal Mad. ve Dis. Tic. A.S.,5527,Umut Öztürk,0.025324448,0.009111617,0,1,0.292916667,0,0,0,67.73437917,1,,2
Denge Kimya,17754,Umut Öztürk,0.010382322,0.002277904,0,1,0.326296296,0,0,0,67.28951178,1,,2
GM,14394,Dimitrios Ntounas,0.002806033,0,0,0.769230769,0.57,0,0,0,67.10184011,1,,2
East Harbour Group Ltd,1838,Dimitrios Ntounas,0.057243073,0.06833713,0.018181818,0.623853211,0.302307692,0.004933463,0,0,66.96733473,1,,2
"UAB ""Transoila""",3417,Oksana Senchyshyn,0.049596633,0.047835991,0,0.547945205,0.538461539,0,0,0,66.36736701,1,,2
Nilkim Teknik Kimya san.Tic. Limited Şirketi,23030,Umut Öztürk,0.052262364,0.120728929,0,0.516363636,0.274143646,0,0,0,66.28426822,1,,2
Cremer Oleo Gmbh & Co. Kg,789,Florian Pagels,0.010522624,0.006833713,0,0.714285714,0.57,0,0,0,66.10715949,1,,2
H3B SRL,1224,Marcello Sanz,0.018239214,0.002277904,0,0.588235294,0.686666667,0,0,0,65.11263962,1,,2
INTERPUR CHEMICALS S.L.U,2945,Juan Alvarado,0.043493511,0.006833713,0,0.704081633,0.519275362,0,0,0,64.7092679,1,,2
PROPLAST KIMYEVİ MADDELER SAN. TİC. LTD. STI.,2097,Umut Öztürk,0.195580498,0,0,0.570469799,0.5240625,0,0,0,64.50563984,1,,2
ALUCOM AG,13645,Florian Pagels,0.008628551,0.006833713,0,0.833333333,0.420666667,0,0,0,64.49817017,1,,2
MINE COLOURS,8809,Umut Öztürk,0.004910558,0.004555809,0.009090909,0.75,0.476666667,0,0,0,64.30820477,1,,2
Scotswood Chemicals Ltd,1749,Dimitrios Ntounas,0.024552788,0.004555809,0,0.666666667,0.57,0,0,0,63.97213449,1,,2
CFI World,7744,Oksana Senchyshyn,0.002806033,0.036446469,0,0.653846154,0.476666667,0,0,0,63.95523652,1,,2
MERYT Catalysts & Innovation,13626,Juan Alvarado,0.004700105,0,0,1,0.271111111,0,0,0,63.79056082,1,,2
GenoSynth GmbH,9349,Julian Panchyrz,0.004349351,0,0,0.7,0.57,0,0,0,63.71746756,1,,2
Yenipınar kimya ltd.şti,24369,Umut Öztürk,0.003788145,0,0,0.7,0.57,0,0,0,63.68940723,1,,2
Chimtex Ltd.,21666,Dimitrios Ntounas,0.02721852,0.009111617,0.009090909,0.791666667,0.3812,0,0,0,63.6447646,1,,2
CVH Chemie-Vertrieb GmbH & Co. Hannover KG,14199,Florian Pagels,0.026025956,0.002277904,0,0.942708333,0.291494253,0,0,0,63.46700797,1,,2
COSMER KİMYA SAN VE TİC A.Ş.,20958,Umut Öztürk,0.032409681,0.045558087,0.009090909,0.639344262,0.368127854,0,0,0,62.92388898,1,,2
SOC DE PRODUITS CHIMIQUES DE LORRAINE,35453,Houcem Bakkari,0.055910207,0,0,0.2,1,0,0,0,62.79551035,1,,4
TEOS Industries,16780,Umut Öztürk,0.025184146,0,0,0.555555556,0.671428571,0,0,0,62.60841364,1,,2
Coral SA,23761,Dimitrios Ntounas,0.010522624,0,0,0.666666667,0.57,0,0,0,62.35946452,1,,2
solvadis distribution gmbh,11397,Florian Pagels,0.003156787,0.002277904,0,0.952380952,0.275365854,0,0,0,62.00076052,1,,2
Eplaks Makina Kim.Mad.Ve İTH.İHR.LTD.STİ,18745,Umut Öztürk,0.00252543,0.002277904,0.009090909,0.714285714,0.476666667,0,0,0,61.94765322,1,,2
Gamma Chimica Spa,11805,Marcello Sanz,0.002034374,0.006833713,0.009090909,0.875,0.29,0.002201249,0,0,61.75676801,1,,2
Infinium Pharmachem Pvt Ltd,734,Florian Pagels,0.025464749,0,0,0.636363636,0.565625,0,0,0,61.37266928,1,,2
Alumichem,3364,Dimitrios Ntounas,0.00336724,0.002277904,0,0.5,0.71,0,0,0,61.12394284,1,,2
PT Cisadane Raya Chemicals,28639,Umut Öztürk,0.009610663,0,0,0.2,1,0,0,0,60.48053315,1,,4
seven deuce trading GmbH,7824,Florian Pagels,0.001964223,0,0,0.7,0.5,0,0,0,60.09821115,1,,2
PT Van Aroma,28045,Umut Öztürk,0.01192564,0.002277904,0,0.375,0.7925,0,0,0,59.42686287,1,,4
Petroxim Chemicals (by KNP Endustriyel Urunleri Ltd Sti),17441,Umut Öztürk,0.013960014,0,0,0.291666667,0.872727273,0,0,0,58.91769767,1,,4
MINERALCOMERS AD,1721,Dimitrios Ntounas,0.00764644,0,0,0.6,0.57,0,0,0,58.88232199,1,,2
20 Microns Limited,3896,na,0.014030165,0,0,0.733333333,0.43,0,0,0,58.86817491,1,,2
STOCKMEIER Chemie GmbH & Co. KG,86,Florian Pagels,0.372079972,0.034168565,0,0.317241379,0.329841521,0,0,0,57.79185662,1,,3
JSC Karpov Chemical Plant,10117,Oksana Senchyshyn,0.014731673,0,0,0.428571429,0.711111111,0,0,0,57.72071064,1,,4
Polyment GmbH,14410,Julian Panchyrz,0.005752368,0,0,0.857142857,0.287654321,0,0,0,57.52747729,1,,2
OQEMA Ltd,21560,Dimitrios Ntounas,0.160294633,0.050113895,0.018181818,0.381147541,0.334441524,0,0,0,57.45332762,1,,3
GUJARAT MULTI GAS BASE CHEMICALS PVT. LTD.,10669,Dimitrios Ntounas,0.005050859,0.004555809,0,0.6,0.523333333,0,0,0,57.33037137,1,,2
Sade Chemical,34376,Tunahan Güzel,0.01024202,0.002277904,0,0.678571429,0.448421053,0,0,0,57.31730594,1,,2
Atul Europe Ltd,11112,Dimitrios Ntounas,0.006944932,0.006833713,0,0.666666667,0.442941177,0,0,0,57.19438133,1,,2
Klaus Busche Chemie GmbH,25397,Julian Panchyrz,0.007225535,0,0,0.571428571,0.562631579,0,0,0,57.06428426,1,,2
Birch Chemicals Limited,17233,Dimitrios Ntounas,0.009470361,0,0,0.4,0.73,0,0,0,56.97351806,1,,4
Feralco Deutschland Gmbh,546,na,0.018449667,0,0,0.142857143,0.976666667,0,0,0,56.89867382,1,,4
LEADCHEM Kimya San.ve Tic. A.Ş.,28670,Umut Öztürk,0.039284462,0,0,0.2,0.897857143,0,0,0,56.85708022,1,,4
Chimica del Lazio srl,13171,Marcello Sanz,0.003717994,0.013667426,0,0.769230769,0.3,0,0,0,56.38092334,1,,2
Ektoni Hulgikaubandus OÜ,31681,Oksana Senchyshyn,0.008347948,0,0,0.380952381,0.732857143,0,0,0,56.10787359,1,,4
Fortuna Kimya Mum. Tic. Ltd. Sti.,12831,Umut Öztürk,0.008067345,0.011389522,0,0.457142857,0.608181818,0,0,0,55.94750533,1,,2
SIMP - Importazione Materie Prime S.p.A.,14467,Marcello Sanz,0.016906349,0.002277904,0,0.571428571,0.52,0,0,0,55.87232687,1,,2
IZEL KIMYA SANAYI VE TIC. A.S.,12570,Umut Öztürk,0.006383725,0,0,0.4,0.71,0,0,0,55.81918625,1,,4
PQ Corporation,22119,Dimitrios Ntounas,0.011224132,0.004555809,0,0,0.43,0,0.109266667,0,55.75236833,1,,3
Kreide-Farbenwerk Rügen GmbH,3212,Julian Panchyrz,0.008347948,0.004555809,0,0.666666667,0.402,0,0,0,54.76189247,1,,2
BEL Sp. z o.o,10748,Oksana Senchyshyn,0.012276394,0.009111617,0,0.384615385,0.654,0,0,0,54.36691241,1,,4
STENFY CHEM,4453,Oksana Senchyshyn,0.051841459,0.013667426,0,0.340909091,0.638285714,0,0,0,54.28529841,1,,4
Traditem GmbH,142,Florian Pagels,0.180217468,0.059225513,0.009090909,0.289644013,0.322283814,0.002311311,0,0,53.50168018,1,,3
NHAT HUY INVESTMENT JOINT STOCK COMPANY,12533,Mladen Vidojevic,0.003086636,0,0,0.375,0.682,0,0,0,53.00433181,1,,4
YUKA KİMYA,23296,Umut Öztürk,0.004209049,0.002277904,0,0.5,0.545652174,0,0,0,52.94864203,1,,2
Grafapol,17321,Oksana Senchyshyn,0.01024202,0.018223235,0,0.545454545,0.43,0,0,0,52.92947521,1,,2
Healy Group Europe B.V.,2970,Juan Alvarado,0.027990179,0.002277904,0.009090909,0.414634146,0.57,0,0,0,52.90497895,1,,4
Fluechem Limited,12288,Dimitrios Ntounas,0.003507541,0.002277904,0,0.473684211,0.57,0,0,0,52.81516845,1,,2
Xin Ji Da Pte Ltd,18307,Oksana Senchyshyn,0.020343739,0.011389522,0,0.425,0.557826087,0,0,0,52.43639563,1,,4
Bhageria Industries Limited,8457,na,0.008067345,0,0,0.5,0.54,0,0,0,52.40336724,1,,2
Kolb Distribution Ltd.,1477,Julian Panchyrz,0.118835496,0,0,0.068965517,0.857058824,0,0,0,52.24299185,1,,4
Turk Perlite,28327,Umut Öztürk,0.032199228,0,0,0,1,0,0,0,51.60996142,1,,4
Gajarda Srl,12469,Marcello Sanz,0.000982112,0,0,0.6,0.43,0,0,0,51.54910558,1,,2
InMotion Global Ltd,24320,Dimitrios Ntounas,0.030515609,0,0,0,1,0,0,0,51.52578043,1,,4
Pro-Eko Srl,2185,na,0.003507541,0,0,0.5,0.523333333,0,0,0,51.34204373,1,,2
Jakusz SpaceTech,18124,Oksana Senchyshyn,0.025184146,0,0,0,1,0,0,0,51.2592073,1,,4
FlyKimya Boya,20456,Umut Öztürk,0.004349351,0.004555809,0,0,1,0,0,0,51.12862929,1,,4
Saha Metal San. Tic. Ltd. Şti.,13996,Umut Öztürk,0.004209049,0.004555809,0,0,1,0,0,0,51.1216142,1,,4
KYKLOS GROUP IKE,25425,Dimitrios Ntounas,0.019081024,0,0,0,1,0,0,0,50.95405121,1,,4
Anex by Interplast Kimya San. ve Tic. A.S.,8637,Umut Öztürk,0.007786741,0,0,0.571428571,0.43875,0,0,0,50.89826565,1,,2
CSR Plastic,16619,Umut Öztürk,0.017818309,0,0,0,1,0,0,0,50.89091547,1,,4
Kchimica S.R.L,17211,Marcello Sanz,0.015082427,0,0,0,1,0,0,0,50.75412136,1,,4
Telko Ukraine,24301,Oksana Senchyshyn,0.014100316,0,0,0,1,0,0,0,50.70501578,1,,4
Arion-Prom,12284,Oksana Senchyshyn,0.011645037,0,0,0,1,0,0,0,50.58225184,1,,4
Omya Vencac,17670,Dimitrios Ntounas,0.002314977,0.002277904,0,0,1,0,0,0,50.57132973,1,,4
JVS Chemicals SPRL,35385,Houcem Bakkari,0.01024202,0,0,0,0.998679245,0,0,0,50.44606328,1,,4
Galaktika Ltd,21178,Oksana Senchyshyn,0.008418099,0,0,0,1,0,0,0,50.42090495,1,,4
Oceanize As,31531,Dimitrios Ntounas,0.006453876,0,0,0,1,0,0,0,50.32269379,1,,4
CSC Jäklechemie,7557,Florian Pagels,0.009470361,0.006833713,0.009090909,0.5,0.43,0.000937251,0,0,50.25216753,1,,2
Genesius Colours,27241,Dimitrios Ntounas,0.003016485,0,0,0,1,0,0,0,50.15082427,1,,4
World Petroleum,33653,Dimitrios Ntounas,0.002876184,0,0,0,1,0,0,0,50.14380919,1,,4
ICARBON Kimya Arge Mühendislik,22730,Umut Öztürk,0.002314977,0,0,0,1,0,0,0,50.11574886,1,,4
Pavezyum Kimya San. Dis. Tic. A.S,1764,Umut Öztürk,0.001543318,0,0,0,1,0,0,0,50.07716591,1,,4
PH Bulktrade ApS,31692,Dimitrios Ntounas,0.000771659,0,0,0,1,0,0,0,50.03858295,1,,4
Audia Plastics s.r.o.,35017,Dimitrios Ntounas,0.000140302,0,0,0,1,0,0,0,50.00701508,1,,4
Organica Feinchemie Gmbh Wolfen,630,Florian Pagels,0.000140302,0,0,0,1,0,0,0,50.00701508,1,,4
H&D HOLDING B.V.,34012,na,0,0,0,0,1,0,0,0,50,1,,4
Perfecta Chemie International BV,35161,na,0,0,0,0,1,0,0,0,50,1,,4
VAN DIEMEN CHEMICALS B.V.,35027,na,0,0,0,0,1,0,0,0,50,1,,4
Viet Nam Minerals Powder CO Jsc,36438,na,0,0,0,0,1,0,0,0,50,1,,4
Yalcon Intra Ltd,25486,na,0,0,0,0,1,0,0,0,50,1,,4
Hidrojen Peroksit Sanayi ve Ticaret A.S,14619,Umut Öztürk,0.007786741,0.002277904,0,0.272727273,0.71,0,0,0,49.98128158,1,,4
Rubamin Private Limited,6157,Houcem Bakkari,0.000911961,0,0,0.6,0.383333333,0,0,0,49.2122647,1,,2
De Monchy International BV,32539,Juan Alvarado,0.006524027,0,0,0,0.974545455,0,0,0,49.05347406,1,,4
Kraus Chemie e.K.,13727,Julian Panchyrz,0.016906349,0.004555809,0,0.583333333,0.361,0,0,0,48.97314583,1,,2
ProComm Chemicals Ltd,8763,Dimitrios Ntounas,0.009540512,0.027334852,0,0.395061728,0.462307692,0,0,0,48.81246703,1,,4
JENGO SPA,15715,Marcello Sanz,0.000420905,0.002277904,0.009090909,0,0.93,6.88E-06,0,0,48.79549582,1,,4
Intertorg EOOD,33279,Dimitrios Ntounas,0.015082427,0,0,0.272727273,0.686666667,0,0,0,48.72381833,1,,4
TEHNO-CHEM DOO,18663,Dimitrios Ntounas,0.018449667,0.011389522,0,0.458333333,0.45,0,0,0,48.61705433,1,,2
Prakash Chemicals International Pvt Ltd,1546,na,0.027920028,0,0,0.505747126,0.437368421,0,0,0,48.55177878,1,,2
PJSC Pigment,3729,Oksana Senchyshyn,0.010592774,0,0,0.25,0.71,0,0,0,48.52963872,1,,4
Noahs Ark Chemicals,102,Dimitrios Ntounas,0.022307962,0.020501139,0,0.30075188,0.565,0,0,0,48.50321988,1,,4
Laviosa Chimica Mineraria S.p.A.,32798,Marcello Sanz,0.020694493,0,0,0,0.942666667,0,0,0,48.16805799,1,,4
SKALNI MATERIALI,25285,Dimitrios Ntounas,0.012346545,0.004555809,0.018181818,0,0.86,5.72E-06,0,0,48.16542417,1,,4
Atul Limited,22910,Dimitrios Ntounas,0.00940021,0,0,0.5,0.453773585,0,0,0,48.15868977,1,,2
Feroce Trading B.V.,34205,Juan Alvarado,0.037320239,0,0,0.057142857,0.860597826,0,0,0,47.75304609,1,,4
Camelina Company España,17075,na,0,0,0,0,0.953333333,0,0,0,47.66666667,1,,4
Lesun Chemicals B.V.,20942,Juan Alvarado,0,0,0,0,0.953333333,0,0,0,47.66666667,1,,4
Arpadis Benelux NV,14052,Houcem Bakkari,0.04594879,0.002277904,0,0.340807175,0.550555556,0,0,0,47.32115688,1,,4
Dr. Felix Jäger Chemikalienhandel,620,Julian Panchyrz,0.005612066,0,0,0.230769231,0.71,0,0,0,47.31906484,1,,4
Reco-E GmbH,21973,Julian Panchyrz,0.011645037,0.009111617,0.009090909,0,0.86,6.66E-05,0,0,47.22942106,1,,4
Fagron sp. z o.o,8321,Oksana Senchyshyn,0.005541915,0,0,0.294117647,0.64,0,0,0,46.98297811,1,,4
Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,19413,Umut Öztürk,0.046159242,0.020501139,0,0.295180723,0.515217391,0,0,0,46.92809562,1,,4
MH & Gustav Heess Ukraine,24974,Oksana Senchyshyn,0.032409681,0,0,0.058823529,0.846153846,0,0,0,46.86935282,1,,4
Almamet GmbH,14915,Florian Pagels,0.002876184,0,0,0,0.93,0,0,0,46.64380919,1,,4
Halopolymer,1018,Oksana Senchyshyn,0.00933006,0.022779043,0.009090909,0.272727273,0.523333333,0,0,0,46.64352376,1,,4
HEGARDT S.L.,27522,Alejandro Saravia,0.002314977,0,0,0,0.93,0,0,0,46.61574886,1,,4
Sinteza Romania,9305,Dimitrios Ntounas,0.001403016,0.006833713,0,0.333333333,0.57,0,0,0,46.60356009,1,,4
Meridian Colour UK Ltd.,26071,Dimitrios Ntounas,0.001262715,0,0,0,0.93,0,0,0,46.56313574,1,,4
Individual businessman,21489,na,0,0,0,0,0.93,0,0,0,46.5,1,,4
Jebsen & Jessen Life Science Gmbh,739,Julian Panchyrz,0.023781129,0.011389522,0,0.296296296,0.556,0,0,0,46.08177561,1,,4
DERIVADOS DEL FLUOR SAU,13335,Juan Alvarado,0.001473167,0,0,0.25,0.67,0,0,0,46.07365837,1,,4
Dutch Essentials BV,29332,Juan Alvarado,0.004700105,0,0,0,0.914,0,0,0,45.93500526,1,,4
