id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
154,Brenntag GmbH,1837,0.490564714,0.027334852,0,0.813620072,0.679473684,0,0,0,104.6498939,0,0,1,1,0,3,1,0
155,East Harbour Group Ltd,1838,0.057243073,0.06833713,0.018181818,0.623853211,0.302307692,0.004933463,0,0,66.96733473,1,0,1,1,0,0,6,7
156,Vollmer Chemie Vertriebs-GmbH,1841,0.014521221,0.006833713,0,0.571428571,0.752142857,0,0.12,0,104.2713751,0,0,1,1,0,0,6,7
157,JSC KAUSTIK,1850,0.00933006,0,0,0.153846154,0.71,0,0,0,43.65881067,1,1,0,2,2,1,4,2
158,TER Chemicals Distribution Group,1853,0.113644335,0.063781321,0.018181818,0.880597015,0.294819277,0,0,0,80.84565924,1,0,1,1,0,3,1,5
159,Emery Oleochemicals,1866,0.018028762,0,0,1,0.57,0,0,0,79.40143809,1,0,1,1,0,3,1,5
160,Völpker Spezialprodukte GmbH,1875,0.008839004,0,0,0,0.59,0,0,0,29.94195019,2,1,0,2,1,4,2,1
161,Faravelli GmbH,1886,0.089793055,0,0,0.052325581,0.448058608,0,0,0,29.50886223,2,1,0,2,1,4,2,1
162,Alumina doo,1894,0.025675202,0,0,0.210526316,0.652352941,0,0,0,44.42772293,1,1,0,2,2,1,4,2
163,Performance Additives Europe GmbH,1898,0.014801824,0.002277904,0,0,0.697272727,0,0,0,36.05930843,2,1,0,2,2,1,4,2
164,Chemconserve BV,1913,0.001122413,0,0,0,0.71,0,0,0,35.55612066,2,1,0,2,2,1,4,2
165,Wintzell & Fried,1944,0.018169063,0.025056948,0,1,0.71,0,0,0,91.4198427,1,0,1,1,0,3,1,0
166,UPL Ltd,1949,0.058505787,0.002277904,0,0.823529412,0.576086957,0,0,0,73.36168865,1,0,1,1,0,3,1,5
167,Phoenix Chemicals Trading Sp.z o.o.,1964,0,0,0,0,0.417826087,0,0,0,20.89130435,2,1,0,2,1,4,2,1
168,Kemiatech,1971,0.007225535,0,0,0,0.57,0,0,0,28.86127675,2,1,0,2,1,4,2,1
169,Bioseutica B.V.,1972,0.008839004,0,0,0,0.57,0,0,1,228.9419502,0,1,0,3,4,5,3,6
170,FIBB sistemi d.o.o.,2000,0.011574886,0,0,0.833333333,0.57,0,0,0,70.74541097,1,0,1,1,0,3,1,5
171,Greyhound Chromatography and Allied Chemicals Ltd,2010,0.181199579,0.006833713,0,1,0.685208333,0,0,0,94.68713822,1,0,1,1,0,3,1,0
172,CABAMIX,2012,0.032129078,0.002277904,0,0,1,0,0,0.9,232.0620347,0,1,0,3,4,5,3,6
173,Vedra S.R.L.,2026,0.017327254,0.004555809,0,1,0.86,0,0,0,94.77752441,1,0,1,1,0,3,1,0
174,Hobum Oleochemicals GmbH,2038,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
175,CP Metal Chemicals B.V.,2043,0.015222729,0,0,0,0.71,0,0,0,36.26113644,2,1,0,2,2,1,4,2
176,"Agrakem Quimicos, SL",2046,0.150333216,0.034168565,0.027272727,0.75,0.56325,2.66E-05,0,0,85.47007671,1,0,1,1,0,3,1,5
177,Keeling & Walker Ltd.,2053,0.002244826,0,0,0,0.57,0,0,0,28.61224132,2,1,0,2,1,4,2,1
178,ANNO  Chemicals nv,2062,0.127253595,0.050113895,0,0.595505618,0.57,0,0,0,74.6607397,1,0,1,1,0,0,6,7
179,INVISTA Polyester B.V.,2078,0.001894072,0,0,0,0.57,0,0,0,28.59470361,2,1,0,2,1,4,2,1
180,Norchem Polyesters LLC,2079,0.016064539,0.01594533,0,0.25,0.518,0,0,0,42.392293,2,1,0,2,1,4,2,7
181,Titandix Vertriebs GmbH,2084,0.029603648,0.070615034,0.018181818,0.972972973,0.628333333,0,0,0,99.30486818,1,0,1,1,0,3,1,5
182,PROPLAST KIMYEVİ MADDELER SAN. TİC. LTD. STI.,2097,0.195580498,0,0,0.570469799,0.5240625,0,0,0,64.50563984,1,0,1,1,0,0,6,7
183,Laboratorios Argenol SL,2098,0.083900386,0,0,0.777777778,0.980666667,0,0,0.9,272.1172415,0,0,1,3,4,5,5,4
184,BOC Sciences,2105,0,0,0,0,0.441554127,0,0,0,22.07770632,2,1,0,2,1,4,2,1
185,ALDROIN SL,2114,0.073658365,0,0,1,0.57,0,0,0,82.18291827,1,0,1,1,0,3,1,5
186,KRAHN CHEMIE POLSKA Sp. z o.o.,2151,0,0.002277904,0,0,0.663333333,0,0,0,33.62224753,2,1,0,2,2,1,4,2
187,Top Agrochem,2152,0.093861803,0.002277904,0.009090909,0.167464115,0.351339286,0.002505633,0,1,233.1575862,0,1,2,3,4,5,3,6
188,H. Costenoble GmbH & Co. KG,2170,0.024903543,0,0,1,0.542,0,0,0.7,218.3451771,0,0,1,3,4,5,5,4
189,Will & Co,2182,0.049456331,0,0,1,0.542,0,0,0,79.57281656,1,0,1,1,0,3,1,5
190,Pro-Eko Srl,2185,0.003507541,0,0,0.5,0.523333333,0,0,0,51.34204373,1,0,1,1,0,0,6,7
191,Alfa Chemistry,2186,0.08684672,0.059225513,0,0.666666667,0.43,0,0,0,71.02077186,1,0,1,1,0,0,6,7
192,Lithos Natural GmbH,2195,0.028270782,0,0,1,0.71,0,0,0,86.91353911,1,0,1,1,0,3,1,0
193,Arkem Chemicals Germany GmbH,2197,0.033742546,0.223234624,0.090909091,0.995633188,0.524776119,0.081886462,0,0.7,288.7249819,0,0,1,3,4,5,5,4
194,ADD-Chem Germany GmbH,2207,0.031076815,0.018223235,0.009090909,0.416666667,0.633636364,8.60E-06,0,0.7,199.5326809,0,0,1,3,4,5,3,6
195,"ISOUND, .s.r.o.",2220,0.011013679,0,0,1,0.57,0,0,0,79.05068397,1,0,1,1,0,3,1,5
196,SPECTRA International,2246,0,0,0,0,0,0,0,0.9,180,0,1,2,0,3,2,3,6
197,Sagar Speciality Chemicals Private Limited,2270,0.016976499,0.004555809,0,0.928571429,0.5975,0,0,0.9,258.0635581,0,0,1,3,4,5,5,4
