Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means
"Productos Paorga, S. L.",18357,0.009764263,0,0,0,0,0,0,0.48821314,3,0
MEGARIDE SRL,30432,0.002231831,0.005808325,0,0,0.00172117,0,0,0.488066358,3,0
Givaudan India Private Limited,1495,0.001255405,0.006776379,0,0,0.00172117,0,0,0.487647755,3,0
Véto-Pharma,32827,0.001673874,0.002904163,0,0,0.005163511,0,0,0.487077372,3,0
Narayana Verlag GmbH,33831,0.001673874,0.002904163,0,0,0.005163511,0,0,0.487077372,3,0
Rachel Branaghan Research Ltd,1498,0.001673874,0.002904163,0,0,0.005163511,0,0,0.487077372,3,0
Inspectorate Antwerp nv,30996,0.001673874,0.002904163,0,0,0.005163511,0,0,0.487077372,3,0
Hoice Incorporation,27477,0.000697447,0.003872217,0,0,0.005163511,0,0,0.486658769,3,0
DREYMOOR FERTILIZERS OVERSEAS PTE LTD,23155,0.001115916,0,0,0,0.008605852,0,0,0.486088386,3,0
Alfa Laval TUmba AB,19515,0.001952853,0.007744434,0,0,0,0,0,0.484864312,3,0
Ing. Pratter Robert,19587,0.000976426,0.008712488,0,0,0,0,0,0.484445709,3,0
Van De Wiele-rubber,18435,0.000976426,0.008712488,0,0,0,0,0,0.484445709,3,0
Cosplayandco sas di Brunero Andrea,27352,0.002371321,0.003872217,0,0,0.003442341,0,0,0.48429393,3,0
"Przedsiębiorstwo Usługowe ""AGR"" Adam Grzymała",31673,0.001394895,0.004840271,0,0,0.003442341,0,0,0.483875327,3,0
ANTIPIOL RESEARCH SRL,33029,0.001394895,0.004840271,0,0,0.003442341,0,0,0.483875327,3,0
CIJ JETINKS INDUSTRY,23546,0.001394895,0.004840271,0,0,0.003442341,0,0,0.483875327,3,0
SODDEL,12745,0.001394895,0.004840271,0,0,0.003442341,0,0,0.483875327,3,0
LF GmbH & Co. KG,32928,0.000836937,0.001936108,0,0,0.006884682,0,0,0.482886341,3,0
Arevipharma GmbH,27708,0.000836937,0.001936108,0,0,0.006884682,0,0,0.482886341,3,0
Nanovis GmbH,28159,0.000836937,0.001936108,0,0,0.006884682,0,0,0.482886341,3,0
Katincharov & co,30128,0.000836937,0.001936108,0,0,0.006884682,0,0,0.482886341,3,0
BODANCHIMICA S.R.L.,24020,0.000836937,0.001936108,0,0,0.006884682,0,0,0.482886341,3,0
SoliPharma BV,21860,0.001115916,0.006776379,0,0,0.00172117,0,0,0.480673281,3,0
"LLC ""Soytex""",21910,0.001115916,0.006776379,0,0,0.00172117,0,0,0.480673281,3,0
AGC Chemicals RUS,30748,0.001534384,0.002904163,0,0,0.005163511,0,0,0.480102899,3,0
Smithers-Oasis France,29980,0.001534384,0.002904163,0,0,0.005163511,0,0,0.480102899,3,0
Sochima S.r.l.,22903,0.001534384,0.002904163,0,0,0.005163511,0,0,0.480102899,3,0
BSG TECH SRL,22398,0.000557958,0.003872217,0,0,0.005163511,0,0,0.479684295,3,0
OROSOLV,3242,0.000557958,0.003872217,0,0,0.005163511,0,0,0.479684295,3,0
ARSILIA Global Services,23418,0.000976426,0,0,0,0.008605852,0,0,0.479113913,3,0
Bkt boğaziçi kimya,17667,0.001813363,0.007744434,0,0,0,0,0,0.477889839,3,0
Givaudan,15085,0.000836937,0.008712488,0,0,0,0,0,0.477471236,3,0
AGRICECAR,33791,0.001255405,0.004840271,0,0,0.003442341,0,0,0.476900853,3,0
Tezkim Tarımsal Kimya Sanayi ve Ticaret A.Ş.,22419,0.001255405,0.004840271,0,0,0.003442341,0,0,0.476900853,3,0
Dr. Lohmann Diaclean GmbH,30160,0.001673874,0.000968054,0,0,0.006884682,0,0,0.476330471,3,0
GRUPO ZUKER S.A. de C.V.,24705,0.001673874,0.000968054,0,0,0.006884682,0,0,0.476330471,3,0
Amitek Infra Private Ltd,34868,0.001673874,0.000968054,0,0,0.006884682,0,0,0.476330471,3,0
Innutri AG,35309,0.000697447,0.001936108,0,0,0.006884682,0,0,0.475911867,3,0
Interface Polymers,23988,0.000697447,0.001936108,0,0,0.006884682,0,0,0.475911867,3,0
ARON UNIVERSAL LTD,7335,0.003905705,0.003872217,0,0,0.00172117,0,0,0.474954618,3,0
rewhite-climbing GmbH,28088,0.000976426,0.006776379,0,0,0.00172117,0,0,0.473698808,3,0
Paintsystems GmbH,30601,0.001394895,0.002904163,0,0,0.005163511,0,0,0.473128425,3,0
Bayer AB,35362,0.001394895,0.002904163,0,0,0.005163511,0,0,0.473128425,3,0
Roam Technology NV,25430,0.001394895,0.002904163,0,0,0.005163511,0,0,0.473128425,3,0
DMR Group,29690,0.001394895,0.002904163,0,0,0.005163511,0,0,0.473128425,3,0
AUSERVIS S.L.,34115,0.000836937,0,0,0,0.008605852,0,0,0.47213944,3,0
CHEMINOV,19021,0.001673874,0.007744434,0,0,0,0,0,0.470915366,3,0
Delutech d.o.o.,30169,0.001115916,0.004840271,0,0,0.003442341,0,0,0.46992638,3,0
Arla Foods,36199,0.001115916,0.004840271,0,0,0.003442341,0,0,0.46992638,3,0
BFC,27965,0.001115916,0.004840271,0,0,0.003442341,0,0,0.46992638,3,0
Sri Tirumala Handloom Tapes,28347,0.001115916,0.004840271,0,0,0.003442341,0,0,0.46992638,3,0
"Fragrance Science, S.L.",28944,0.001115916,0.004840271,0,0,0.003442341,0,0,0.46992638,3,0
NAUTIX,7574,0.000557958,0.001936108,0,0,0.006884682,0,0,0.468937394,3,0
PLAST4LABS SRL,21674,0.001813363,0.005808325,0,0,0.00172117,0,0,0.467142938,3,0
Sabbie di parma srl,23266,0.003208258,0.000968054,0,0,0.005163511,0,0,0.466991159,3,0
Savi Cleaning Products Ltd,24827,0.000836937,0.006776379,0,0,0.00172117,0,0,0.466724334,3,0
AXOR,29935,0.002231831,0.001936108,0,0,0.005163511,0,0,0.466572555,3,0
SAS FEU VERT,33724,0.001255405,0.002904163,0,0,0.005163511,0,0,0.466153952,3,0
ISEGA Forschungs- und Untersuchungsgesellschaft mbH,27315,0.001255405,0.002904163,0,0,0.005163511,0,0,0.466153952,3,0
