Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,label
Genesys International Ltd,27446,0.042469964,0.091439689,0.07278481,0,0.141623489,0,0,cluster_1
Romonta Holding GmbH,24852,0.041771445,0.059338521,0.028481013,0.049180328,0.153713299,0,0,cluster_1
Agrivalle,31278,0.014389494,0.087548638,0.110759494,0,0.018998273,0,0,cluster_1
MKS DevO Kimya Merkez,24911,0.044844929,0.115758755,0.069620253,0,0.124352332,0,0,cluster_1
Eptatech S.r.l,20005,0.028639285,0.138132296,0.034810127,0.032786885,0.107081174,0.008326007,0,cluster_1
EDILTECO Spa,2441,0.015367421,0.031128405,0.120253165,0,0.032815199,0,0,cluster_1
Planet Agencies,34691,0.017323275,0.035019455,0.123417722,0,0.01208981,0,0,cluster_1
Chemstil,18722,0.02626432,0.090466926,0.079113924,0,0.122625216,0,0,cluster_1
Halo Industry S.p.A.,23808,0.051550712,0.188715953,0.041139241,0,0.150259067,0,0,cluster_2
BURBOYA AS,8296,0.051271305,0.192607004,0.050632911,0,0.103626943,0,0,cluster_1
Additek SAS,21762,0.069153395,0.131322957,0.03164557,0.016393443,0.15716753,0,0,cluster_1
Chemispec,8473,0.029058396,0.058365759,0.107594937,0,0.031088083,0,0,cluster_1
VIPO a.s.,22247,0.073204806,0.157587549,0.037974684,0,0.165803109,0,0,cluster_2
Laviosa Chimica Mineraria Spa,16074,0.077675328,0.071984436,0.037974684,0.016393443,0.18134715,0,0,cluster_1
Super Nail Center GmbH,20520,0.039396479,0.138132296,0.07278481,0,0.079447323,0,0,cluster_1
QUIMIMONT SLU,25183,0.037021514,0.142023346,0.066455696,0,0.098445596,0,0,cluster_1
PT. Behn Meyer Chemicals,1322,0.161078514,0.309338521,0,0,0.07253886,0,0,cluster_2
Wieds Ecochem AG,1779,0.031293657,0.073929961,0.066455696,0.016393443,0.101899827,0.001812753,0,cluster_1
Mavi Tarım,27180,0.036462699,0.064202335,0.10443038,0,0.022452504,0,0,cluster_1
OQEMA Ukraine LLC,13030,0.129505448,0.106031128,0.006329114,0,0.279792746,0,0,cluster_2
INCASA SL,31540,0.036043588,0.041828794,0.10443038,0,0.044905009,0,0,cluster_1
BOTEK AR-GE KİMYA A.Ş,30342,0.121821738,0.023346304,0.053797468,0,0.176165803,0,0,cluster_1
"Ciano Aquarium, S.A.",8262,0.055043308,0.093385214,0.056962025,0,0.15716753,0,0,cluster_1
Nature Vital GmbH Co.KG,20529,0.027801062,0.246108949,0.015822785,0,0.189982729,0,0,cluster_2
Global SciTech Innovations Ltd,31837,0.063285834,0.158560311,0.050632911,0,0.098445596,0,0,cluster_1
Mani Mark Paper Plast,25819,0.02626432,0.100194553,0.041139241,0,0.231433506,0,0,cluster_2
HSH Chemie SK s.r.o.,23497,0.047639005,0.195525292,0.044303797,0,0.101899827,0,0,cluster_1
Poitara,16730,0.042749371,0.071984436,0.082278481,0,0.077720207,0,0,cluster_1
MSP Trade 87 Ltd,31287,0.07152836,0.142996109,0.015822785,0.016393443,0.110535406,0.033122734,0,cluster_1
AB-Polymerchemie,8279,0.043168483,0.055447471,0.063291139,0.032786885,0.03626943,0,0,cluster_1
SIA COSMETIC LAB,34436,0.090947192,0.147859922,0.050632911,0,0.075993092,0,0,cluster_1
BRENNTAG KIMYA TIC.LTD.ŞTI.,10291,0.038837664,0.120622568,0.066455696,0,0.091537133,0,0,cluster_1
AC Valquimia SLU,18817,0.005588153,0.020428016,0.082278481,0.032786885,0.005181347,0.011396353,0,cluster_0
FABERCHIMICA SRL,14245,0.156468287,0.135214008,0.022151899,0,0.13298791,0,0,cluster_2
Hochschule Kaiserslautern,31068,0.049455155,0.114785992,0.022151899,0,0.255613126,0,0,cluster_2
Theo Seulberger-Chemie GmbH & Co. KG,20503,0.019139424,0.171206226,0.006329114,0.016393443,0.226252159,0,0,cluster_2
Tailors Energy SA,31749,0.104917575,0.083657588,0.050632911,0,0.115716753,0,0,cluster_1
Agakim Kimya Sanayi ve Ticaret A.Ş.,25736,0.079351774,0.155642023,0.022151899,0,0.183074266,0,0,cluster_2
